"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_i0;nb_nonvalhp;nombre_et2;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126691;9312669;9312669;I000272;27;0;0;0;0;0;27;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126691;9312669;9312669;I000273;12;0;0;0;0;0;12;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126691;9312669;9312669;I000277;5;0;0;0;0;0;5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126691;9312669;9312669;I000278;5;0;0;0;0;0;5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126691;9312669;9312669;I999999;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126752;9312675;9312675;I000273;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126752;9312675;9312675;I000277;1;0;0;0;0;0;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893287880;9328788;9328788;I000205;19;0;0;0;0;0;19;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893287880;9328788;9328788;I000206;9;0;0;0;0;0;9;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893287880;9328788;9328788;I999999;8;0;0;0;0;0;8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893318799;9331879;9331879;I000310;9;0;0;0;0;0;9;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893318850;9331885;9331885;I000310;59;0;0;0;0;0;59;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893318911;9331891;9331891;I000310;76;0;0;0;0;0;76;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893326206;9332620;9332620;I000076;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893326206;9332620;9332620;I000077;4;0;0;0;0;0;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893326206;9332620;9332620;I999999;14;0;0;0;0;0;14;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893413692;9341369;9341369;I000120;15;0;0;0;0;0;15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893923269;9392326;9392326;I000168;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893951064;9395106;9395106;I000271;8;0;0;0;0;0;8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894000372;9400037;9400037;I000163;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894000662;9400066;9400066;I000506;15;0;0;0;0;0;15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894020592;9402059;9402059;I000103;6;0;0;0;0;0;6;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894023036;9402303;9402303;I000197;16;0;0;0;0;0;16;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894023036;9402303;9402303;I000287;184;0;0;0;0;0;184;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894023036;9402303;9402303;I000288;22;0;0;0;0;0;22;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894023036;9402303;9402303;I000289;5;0;0;0;0;0;5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894023036;9402303;9402303;I000290;6;0;0;0;0;0;6;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894023036;9402303;9402303;I000292;11;0;0;0;0;0;11;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894023036;9402303;9402303;I000293;57;0;0;0;0;0;57;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894073871;9407387;9407387;I000184;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894074014;9407401;9407401;I000184;1;0;0;0;0;0;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894074182;9407418;9407418;I000184;1;0;0;0;0;0;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894187875;9418787;9418787;I000293;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894197232;9419723;9419723;I000211;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894197232;9419723;9419723;I000392;10;0;0;0;0;0;10;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894199472;9419947;9419947;I000512;136;0;0;0;0;0;136;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400894250203;9425020;9425020;I000335;6;0;0;0;0;0;6;2023.7;X020000253;24AUG23;14:38:01
