"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;PU;tarif;coef_mco;coef_mco_ok;qte_pb;br_pb;pb_coef;pb_coef2;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";ATU;27.17;28.63;0.9953;0.9953;152;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";ATU;28.63;28.63;1.0023;0.9953;0;0;0;1;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";FU1;27.53;29.78;1;1;22;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";FU2;35.21;34.82;1;1;280;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";FU3;41.11;40.67;1;1;134;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";FU4;49.27;48.74;1;1;22;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SAS;24.56;24.78;1;1;64;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE1;81.41;85.78;0.9943;0.9953;159;0;159;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE1;81.41;85.78;0.9953;0.9953;114;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE2;65.14;68.64;0.9943;0.9953;101;0;101;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE2;65.14;68.64;0.9953;0.9953;83;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE3;43.41;45.74;0.9943;0.9953;18;0;18;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE3;43.41;45.74;0.9953;0.9953;18;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE4;21.7;22.87;0.9943;0.9953;1;0;1;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE4;21.7;22.87;0.9953;0.9953;2;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SE7;111;116.96;0.9953;0.9953;2;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SIC;53.48;53.95;1;1;14;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SIM;33.99;34.29;1;1;167;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SSF;18.73;18.89;1;1;13;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SSN;24.71;24.93;1;1;78;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SU2;14.53;14.37;1;1;22;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SU3;19.38;19.17;1;1;1;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SUM;12.66;12.52;1;1;86;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 12:52:15";="590782421";SUN;39.3;39.65;1;1;106;0;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:06";="020000063";SU2;14.53;14.37;0;1;3;0;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";FU1;27.53;29.78;1;1;5;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";FU1;29.78;27.53;1;1;4;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";FU2;35.21;34.82;1;1;3;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";FU3;41.11;40.67;1;1;3;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";FU4;49.27;48.74;1;1;2;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";SB3;54.27;54.86;1;1;3;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";SE3;43.41;45.74;0.9943;0.9953;2;0;2;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";SE4;21.7;22.87;0.9943;0.9953;2;0;2;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";SIC;53.48;53.95;1;1;1;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";SIM;33.99;34.29;1;1;8;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";SSN;24.71;24.93;1;1;2;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 15:42:14";="020004495";SUN;39.3;39.65;1;1;5;0;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";ATU;27.17;28.63;0.9943;0.9953;5;0;5;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";FU1;27.53;29.78;1;1;18;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";FU2;35.21;34.82;1;1;35;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";FU3;41.11;40.67;1;1;45;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";FU4;49.27;48.74;1;1;17;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SAS;24.56;24.78;1;1;8;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SB2;52.11;52.26;1;1;33;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SB3;54.27;54.86;1;1;57;0;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SE1;81.41;85.78;0.9943;0.9953;15;0;15;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SE2;65.14;68.64;0.9943;0.9953;9;0;9;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SE3;43.41;45.74;0.9943;0.9953;3;0;3;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 11:59:15";="020000261";SIC;53.48;53.95;1;1;17;0;0;0;2023.7;X020000261;29AUG23;11:59:04
