"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;valobr;valoam;nbe;valobre;nbinc;valobrinc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SE7;3;349.230864;279.3846912;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SF;3385.7;9479.96;8623.804;87.1;243.88;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SFI;106.25;231.625;140.6645;21.15;46.107;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SIC;679;36531.47;34161.43;15;808.31;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SIM;1578;53805.42;50564.97;21;717.09;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SSF;196;3680.84;3492.74;4;75.24;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SSN;885;21990.01;20673.56;12;298.28;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SU2;248;3577.04;3461.76;1;14.37;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SU3;67;1291.32;1175.67;2;38.34;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SUB;292;12699.84;12222.72;1;43.2;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SUF;2192;22972.94;21904.61;13;135.91;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SUM;1637;20583.3;19803.84;25;314.12;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SUN;1721;68029.75;64277.35;21;828.1;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";TB;4.5;11.34;6.804;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";TC;142;3266;2214.9;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";TCG;29;725;605;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";TMF;341;-8184;-8184;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
