"champ";"statut";"annee";"periode";"date du resultat";"ipe";tremb2;mtm0;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";80;montant TM non numérique ou à 0;256;0.9100927868;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";80f;montant TM numérique;11;0.0391055494;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";80f;montant TM non numérique ou à 0;9;0.0319954495;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";90;montant TM numérique;11;0.0391055494;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:40:57";="620027839";100;montant TM non numérique ou à 0;18;0.0813118309;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:57";="620027839";100f;montant TM non numérique ou à 0;22118;99.914170845;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/29 16:40:57";="620027839";80;montant TM non numérique ou à 0;1;0.0045173239;2023.7;X620027839;29AUG23;16:39:44
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";100;montant TM numérique;6;0.036775973;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";100;montant TM non numérique ou à 0;12522;76.751455716;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";80;montant TM numérique;2921;17.903769537;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";80;montant TM non numérique ou à 0;800;4.9034630708;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";80f;montant TM numérique;1;0.0061293288;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";80f;montant TM non numérique ou à 0;58;0.3555010726;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";90;montant TM numérique;5;0.0306466442;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:36:23";="590780284";90;montant TM non numérique ou à 0;2;0.0122586577;2023.7;X590780284;30AUG23;8:35:11
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";100;montant TM non numérique ou à 0;3363;61.458333333;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";100f;montant TM non numérique ou à 0;277;5.0621345029;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";80;montant TM numérique;1281;23.410087719;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";80;montant TM non numérique ou à 0;534;9.7587719298;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";80f;montant TM numérique;1;0.0182748538;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";80f;montant TM non numérique ou à 0;14;0.2558479532;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 08:43:25";="020000287";90;montant TM numérique;2;0.0365497076;2023.7;X020000287;30AUG23;8:42:17
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";100;montant TM numérique;51;0.1715727502;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";100;montant TM non numérique ou à 0;16992;57.164003364;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";100f;montant TM numérique;20;0.0672834315;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";100f;montant TM non numérique ou à 0;1176;3.9562657696;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";80;montant TM numérique;10527;35.414634146;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";80;montant TM non numérique ou à 0;896;3.0142977292;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";80f;montant TM numérique;1;0.0033641716;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";80f;montant TM non numérique ou à 0;44;0.1480235492;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";90;montant TM numérique;17;0.0571909167;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:33:46";="590797353";90;montant TM non numérique ou à 0;1;0.0033641716;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:27";="590782421";100;montant TM non numérique ou à 0;31863;76.448571223;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:27";="590782421";100f;montant TM non numérique ou à 0;1859;4.4602797572;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:27";="590782421";80;montant TM numérique;6832;16.391947983;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:27";="590782421";80;montant TM non numérique ou à 0;345;0.8277549845;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:27";="590782421";80f;montant TM numérique;215;0.5158473092;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:27";="590782421";80f;montant TM non numérique ou à 0;562;1.3484008733;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 11:30:27";="590782421";90;montant TM numérique;3;0.0071978694;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 12:12:27";="800000051";100;montant TM non numérique ou à 0;346;64.672897196;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:27";="800000051";80;montant TM numérique;175;32.710280374;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 12:12:27";="800000051";80f;montant TM numérique;14;2.6168224299;2023.7;X800000051;30AUG23;12:11:16
"mco";"dgf";"2023";"7";"2023/08/30 13:42:40";="800000135";100;montant TM non numérique ou à 0;171;90.476190476;2023.7;X800000135;30AUG23;13:41:48
"mco";"dgf";"2023";"7";"2023/08/30 13:42:40";="800000135";80;montant TM numérique;15;7.9365079365;2023.7;X800000135;30AUG23;13:41:48
