"champ";"statut";"annee";"periode";"date du resultat";"ipe";nb;mnt_br;mnt_tot_am;taux_app;mtm;mnt_fj;mpf;rac;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 08:07:19";="020000071";;;;;;;;;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:19:41";="600100721";1;2301.137595;2074.7973154;93.87;900.36;70;0.16;970.52;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:37";="620100057";39;73898.786776;68231.276388;92.853333333;20091.16;1063.6;205.87;21360.63;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:23:15";="600101984";27;35090.268876;33322.467327;96.91;7525.86;321.6;242.28;8089.74;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:45";="800000028";2;4292.840877;3850.2664251;93.745;1236.99;82;20.18;1339.17;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:03:42";="590783239";45;51227.833257;46063.576978;91.356222222;17484.14;1082.4;166.88;18733.42;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:13:40";="590785374";3;4436.3773633;3850.6178824;89.31;1723.23;91.6;3.6;1818.43;2023.7;X590785374;01SEP23;16:12:38
"mco";"dgf";"2023";"7";"2023/09/01 16:56:55";="020000063";8;15431.901927;14343.057192;95.28125;3161.18;262.4;86.57;3510.15;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/01 18:28:04";="590000188";92;40297.408287;40010.026429;100;0;0;5.3;5.3;2023.7;X590000188;01SEP23;18:26:37
"mco";"dgf";"2023";"7";"2023/09/04 15:55:13";="620103432";4;9518.355039;8947.2211692;92.6875;3199.35;63.6;20.54;3283.49;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:37";="590782637";6;12705.65595;12094.944534;90.111666667;4531.82;282.8;0.18;4814.8;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:39";="590781803";40;72699.262432;66831.138942;92.805;19663.59;1089.8;224.2;20977.59;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:49";="590780227";1;560.556321;506.17131901;93.5;212.49;14.2;0.08;226.77;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:46:15";="800000044";44;87054.927964;81613.367639;91.708181818;16999.49;1397;197.32;18593.81;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:02:00";="590781902";6;11389.33536;10122.645805;89.648333333;3257.77;188.4;20.2;3466.37;2023.7;X590781902;07SEP23;20:00:41
