"champ";"statut";"annee";"periode";"date du resultat";"ipe";spec_exc;code1;nb;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 09:19:02";="590780284";PS;G;1;25;25;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:02";="590780284";PS;MCG;1;5;5;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:02";="590780284";PS;MCS;2;10;7;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:02";="590780284";PS;MOP;2;10;10;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 09:19:02";="590780284";PS;MPC;2;5.4;3.78;2023.7;X590780284;30AUG23;9:18:49
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";;FSD;275;11000;8434;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";01;APY;1;62.5;43.75;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";01;MCS;730;3650;2751;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";01;MPC;903;1807.4;1362.58;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";01;SFI;34.5;102.66;83.436;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";02;APY;1;62.5;43.75;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";02;CNP;1;42.5;42.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";02;TCG;2;50;35;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";04;APY;2;125;87.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";05;APY;5;312.5;237.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";07;APY;1;62.5;62.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";07;MSF;4;8;8;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";07;SF;81;296.8;286.72;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";07;SFI;994.5;3119.22;2454.264;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";08;APY;12;750;625;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";08;CSC;2;95.46;71.595;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";08;G;1;25;25;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";08;MCC;2;6.54;4.905;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";08;MCG;1;5;5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";08;MSF;1;2;2;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";11;APY;5;312.5;237.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";11;G;1;25;17.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";12;APY;28;1750;1309.375;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";12;CNP;8;340;263.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";12;CSC;10;477.3;362.748;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";12;G;1;25;17.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";12;GS;1;25;17.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";12;MCC;10;32.7;24.852;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";12;MCG;2;10;7;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";13;APY;1;62.5;43.75;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";13;CSC;1;47.73;42.957;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";13;G;13;325;310;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";13;MCC;1;3.27;2.943;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";13;MCG;13;65;62;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";14;APY;1;62.5;62.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";14;CNP;1;42.5;42.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";15;AMY;15.5;40.3;28.21;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";15;APY;4;250;212.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";15;CNP;1;42.5;42.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";17;CS;6;138;117.3;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";20;G;1;25;17.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";20;MCG;1;5;3.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";21;APC;14;770;627;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";21;CS;13;299;227.7;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";21;MCS;12;60;46;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";21;MOP;1;5;5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";21;MPC;13;26;19.8;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";22;CSC;1;47.73;33.411;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";22;G;13;325;280;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";22;MCC;1;3.27;2.289;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";22;MCS;238;1190;963;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";22;MPC;255;510;412.6;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";24;APC;1;55;55;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";24;CS;14;322;246.1;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";24;G;1;25;17.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";24;MCG;1;5;3.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";24;MCS;14;70;53.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";24;MOP;1;5;5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";24;MPC;15;30;22.8;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";29;APC;10;550;401.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";29;CS;45;1035;802.7;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";29;MCS;45;225;174.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";29;MPC;45;90;69.8;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";30;APC;8;440;319;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";30;CS;3;69;48.3;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";30;G;1;25;25;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";30;MCS;3;15;10.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";30;MOP;1;5;5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";30;MPC;3;6;4.2;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";30;SFI;3;6.54;4.905;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";32;APC;49;2695;2332;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";32;CSC;10;477.3;462.981;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";32;G;2;50;35;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";32;GS;5;125;95;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";32;MCC;10;32.7;31.719;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";32;MCG;7;35;26;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";33;APC;1;55;38.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";33;CS;22;506;423.2;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";41;APY;6;375;262.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";41;MSF;1;2;1.4;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";48;APY;1;62.5;62.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";49;APY;1;62.5;62.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";71;APY;5;312.5;293.75;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";73;APY;1;62.5;43.75;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";73;G;1;25;25;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";73;MCG;1;5;5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";73;SFI;1.5;3.27;3.27;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";75;CS;6;138;103.5;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";84;CSC;2;95.46;85.914;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";84;MCC;2;6.54;5.886;2023.7;X590797353;30AUG23;10:39:02
"mco";"dgf";"2023";"7";"2023/08/30 10:39:24";="590797353";86;APC;1;55;38.5;2023.7;X590797353;30AUG23;10:39:02
