"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;mnt_avb;mnt_am_avb;mnt_apb;mnt_am_apb;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;cpt;mnt_am_mat2a;mnt_am_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";URGENCE;1136317.64;1136317.5949;0;0;1136317.64;1136317.5949;0;0;13;1136317.5949;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";ATU;20413.458227;16787.137502;0;0;20413.458227;16787.137502;0;0;1;16787.137502;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";FTN;30407.168;30407.140091;0;0;30407.168;267129.72749;236724.826;236722.5874;4;30407.140091;236722.5874;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";CCAM;111466.47;94580.055748;0;0;111466.47;861449.84748;946842.09;766869.79173;5;94580.055748;766869.79173;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";SE;73844.123084;63405.237005;0;0;73844.123084;63405.237005;0;0;6;63405.237005;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";NGAP;30717.93;25543.706032;0;0;30717.93;831838.02542;995852.9455;806294.31939;7;25543.706032;806294.31939;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/24 12:29:52";="020000253";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X020000253;24AUG23;12:29:35
