"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nb;nbok;dep;montant;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2022";"12";"2023/02/03 12:38:05";="800000028";3400893740507;9374050;I001004;9374050;8;8;23442.16;23442.16;2022.12;X800000028;03FEB23;12:36:33
"mco";"dgf";"2022";"12";"2023/02/03 12:38:05";="800000028";3400894094692;9409469;I001003;9409469;21;21;8684.13;8684.13;2022.12;X800000028;03FEB23;12:36:33
"mco";"dgf";"2022";"12";"2023/02/03 12:38:05";="800000028";3400894274674;9427467;I000503;9427467;24.64;24.64;9521.38;12864.88968;2022.12;X800000028;03FEB23;12:36:33
"mco";"dgf";"2022";"12";"2023/02/03 12:38:05";="800000028";3400894389798;9438979;I001003;9438979;9.5;9.5;23571.21;23571.1815;2022.12;X800000028;03FEB23;12:36:33
"mco";"dgf";"2022";"12";"2023/02/03 12:38:05";="800000028";3400894405450;9440545;I000541;9440545;57.7;57.7;116009.2;115990.0402;2022.12;X800000028;03FEB23;12:36:33
"mco";"dgf";"2022";"12";"2023/02/03 16:45:52";="620101337";3400894274674;9427467;I000503;9427467;4;0;1526.4;0;2022.12;X620101337;03FEB23;16:44:27
"mco";"dgf";"2022";"12";"2023/02/03 16:45:52";="620101337";3400894389798;9438979;I001005;9438979;1;1;2481.18;2481.177;2022.12;X620101337;03FEB23;16:44:27
"mco";"dgf";"2022";"12";"2023/02/03 16:45:52";="620101337";3400894405450;9440545;I000541;9440545;3;3;6030.69;6030.678;2022.12;X620101337;03FEB23;16:44:27
"mco";"dgf";"2022";"12";"2023/02/03 16:45:52";="620101337";3400894405511;9440551;I000541;9440551;8;8;3859.6;3859.632;2022.12;X620101337;03FEB23;16:44:27
"mco";"dgf";"2022";"12";"2023/02/07 15:41:42";="590780193";3400893740507;9374050;I001004;9374050;8.08;6.08;23584.051;17816.0416;2022.12;X590780193;07FEB23;15:38:22
"mco";"dgf";"2022";"12";"2023/02/07 15:41:42";="590780193";3400893740675;9374067;I001004;9374067;0.625;0;7297.046;0;2022.12;X590780193;07FEB23;15:38:22
"mco";"dgf";"2022";"12";"2023/02/07 15:41:42";="590780193";3400894094692;9409469;I001003;9409469;8;8;3295.312;3308.24;2022.12;X590780193;07FEB23;15:38:22
"mco";"dgf";"2022";"12";"2023/02/07 15:41:42";="590780193";3400894389798;9438979;I001003;9438979;8.321;3;20565.19;7443.531;2022.12;X590780193;07FEB23;15:38:22
"mco";"dgf";"2022";"12";"2023/02/07 16:07:59";="800000044";3400894395423;9439542;I999999;9439542;27.809;0;175809.368;0;2022.12;X800000044;07FEB23;16:05:31
"mco";"dgf";"2022";"12";"2023/02/10 09:27:36";="590781902";3400894023036;9402303;I000285;9402303;8;8;649.85;1079.736;2022.12;X590781902;10FEB23;9:26:05
"mco";"dgf";"2022";"12";"2023/02/10 09:27:36";="590781902";3400894405450;9440545;I000541;9440545;12;12;24122.71;24122.712;2022.12;X590781902;10FEB23;9:26:05
"mco";"dgf";"2022";"12";"2023/02/15 09:23:22";="600100721";3400894023036;9402303;I000285;9402303;32;32;1884.44;4609.64;2022.12;X600100721;15FEB23;9:21:49
