"champ";"statut";"annee";"periode";"date du resultat";"ipe";acte;nb;nbocc;nbsej;nbseq;N;pctsej;pctseq;pctsseq;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";ANMP001;165;165;111;163;163;12.416107383;10.143123833;7.8516377649;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";HSLD001;84;84;19;28;36;2.1252796421;1.7423771002;1.7341040462;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";HSLF002;37;37;7;22;25;0.7829977629;1.3690105787;1.204238921;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";HSLD002;12;12;4;5;8;0.4474272931;0.3111387679;0.3853564547;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";FELF011;2;2;1;2;2;0.1118568233;0.1244555072;0.0963391137;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";HSLF001;1;1;1;1;1;0.1118568233;0.0622277536;0.0481695568;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";Total;500;500;335;416;430;37.472035794;25.886745488;20.712909441;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";GLLD017;101;101;29;57;96;11.6;11.046511628;11.46953405;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";HSLD001;80;80;32;41;71;12.8;7.9457364341;8.4826762246;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";QZJB002;68;68;32;34;67;12.8;6.5891472868;8.0047789725;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";HSLF002;28;28;15;18;26;6;3.488372093;3.1063321386;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";ANMP001;12;12;10;10;11;4;1.9379844961;1.3142174432;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";JDKD002;10;10;6;7;8;2.4;1.3565891473;0.9557945042;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";HSLD002;8;8;5;5;8;2;0.9689922481;0.9557945042;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";GELD005;6;6;6;6;6;2.4;1.1627906977;0.7168458781;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";JDLD001;6;6;5;5;6;2;0.9689922481;0.7168458781;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";GGJB001;4;4;1;1;2;0.4;0.1937984496;0.238948626;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";GLLD012;3;3;3;3;3;1.2;0.5813953488;0.3584229391;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";GLLD019;3;3;1;1;3;0.4;0.1937984496;0.3584229391;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";FELF011;2;2;2;2;2;0.8;0.3875968992;0.238948626;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";FELF001;1;1;1;1;1;0.4;0.1937984496;0.119474313;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";GGJB002;1;1;1;1;1;0.4;0.1937984496;0.119474313;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";HSLF001;1;1;1;1;1;0.4;0.1937984496;0.119474313;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";JDJD001;1;1;1;1;1;0.4;0.1937984496;0.119474313;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:14";="020000022";Total;335;335;120;165;272;48;31.976744186;32.497013142;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:58";="800000085";ANMP001;1;1;1;1;1;0.518134715;0.3300330033;0.202020202;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:58";="800000085";Total;1;1;1;1;1;0.518134715;0.3300330033;0.202020202;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:17";="590048476";ANMP001;113;113;113;113;113;9.3465674111;7.1882951654;5.3783912423;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:17";="590048476";Total;113;113;113;113;113;9.3465674111;7.1882951654;5.3783912423;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";ANMP001;13;13;13;13;13;4.6762589928;3.8123167155;2.1523178808;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:45";="800000028";Total;13;13;13;13;13;4.6762589928;3.8123167155;2.1523178808;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";DEQP004;393;393;29;48;54;1.0788690476;1.5952143569;1.5638575152;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";GLQP005;59;59;7;13;14;0.2604166667;0.4320372217;0.405444541;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";QZRB001;53;54;30;34;36;1.1160714286;1.1299435028;1.0425716768;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";GLQP001;43;43;7;8;8;0.2604166667;0.2658690595;0.2316825948;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";ANMP001;19;19;3;3;4;0.1116071429;0.0997008973;0.1158412974;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";EPLF002;1;1;1;1;1;0.037202381;0.0332336324;0.0289603244;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:04";="590780193";Total;568;569;69;97;107;2.5669642857;3.2236623463;3.0987547061;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";ZBQK002;7;7;3;3;6;0.9708737864;0.8152173913;1.0204081633;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";MAQK001;1;1;1;1;1;0.3236245955;0.2717391304;0.1700680272;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";QZQM001;1;1;1;1;1;0.3236245955;0.2717391304;0.1700680272;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";YYYY600;1;1;1;1;1;0.3236245955;0.2717391304;0.1700680272;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";ZCQK004;1;1;1;1;1;0.3236245955;0.2717391304;0.1700680272;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:48";="600100721";Total;11;11;5;5;8;1.6181229773;1.3586956522;1.3605442177;2022.12;X600100721;13FEB23;16:00:35
