"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;COUNT;PERCENT;countm;percentm;countf;percentf;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";1;15;1.0087424344;4;0.4884004884;11;1.6467065868;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";2;21;1.4122394082;21;2.5641025641;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";3;56;3.7659717552;43;5.2503052503;13;1.9461077844;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";4;69;4.6402151984;35;4.2735042735;34;5.0898203593;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";5;223;14.996637525;143;17.46031746;80;11.976047904;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";6;448;30.127774042;263;32.112332112;185;27.694610778;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";7;640;43.039677202;298;36.385836386;342;51.19760479;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";3;11;6.3583815029;10;14.925373134;1;0.9433962264;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";4;4;2.3121387283;1;1.4925373134;3;2.8301886792;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";5;17;9.8265895954;6;8.9552238806;11;10.377358491;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";6;44;25.433526012;26;38.805970149;18;16.981132075;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";7;97;56.069364162;24;35.820895522;73;68.867924528;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:43:55";="800000077";3;2;1.8348623853;2;3.2258064516;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:55";="800000077";4;6;5.504587156;4;6.4516129032;2;4.2553191489;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:55";="800000077";5;11;10.091743119;6;9.6774193548;5;10.638297872;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:55";="800000077";6;35;32.110091743;23;37.096774194;12;25.531914894;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:55";="800000077";7;55;50.458715596;27;43.548387097;28;59.574468085;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";3;3;1.0989010989;2;1.2820512821;1;0.8547008547;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";4;32;11.721611722;12;7.6923076923;20;17.094017094;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";5;50;18.315018315;30;19.230769231;20;17.094017094;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";6;88;32.234432234;58;37.179487179;30;25.641025641;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:21";="800000069";7;100;36.63003663;54;34.615384615;46;39.316239316;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";3;5;0.5592841163;5;1.1520737327;;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";4;43;4.8098434004;13;2.9953917051;30;6.5217391304;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";5;151;16.890380313;83;19.124423963;68;14.782608696;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";6;320;35.794183445;191;44.00921659;129;28.043478261;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:21";="590782652";7;375;41.946308725;142;32.718894009;233;50.652173913;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";3;1;0.4;1;0.8849557522;;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";4;16;6.4;9;7.9646017699;7;5.1094890511;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";5;69;27.6;30;26.548672566;39;28.467153285;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";6;83;33.2;39;34.513274336;44;32.116788321;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:08";="020000022";7;81;32.4;34;30.088495575;47;34.306569343;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";2;6;3.1088082902;;;6;5.504587156;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";3;4;2.0725388601;;;4;3.6697247706;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";4;3;1.5544041451;1;1.1904761905;2;1.8348623853;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";5;44;22.797927461;27;32.142857143;17;15.596330275;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";6;50;25.906735751;26;30.952380952;24;22.018348624;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:51";="800000085";7;86;44.559585492;30;35.714285714;56;51.376146789;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";3;10;0.8271298594;7;1.2658227848;3;0.4573170732;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";4;51;4.2183622829;28;5.0632911392;23;3.506097561;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";5;148;12.241521919;83;15.009041591;65;9.9085365854;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";6;347;28.701406121;193;34.900542495;154;23.475609756;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:11";="590048476";7;653;54.011579818;242;43.761301989;411;62.652439024;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";3;3;1.0791366906;;;3;2.6548672566;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";4;7;2.5179856115;5;3.0303030303;2;1.7699115044;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";5;55;19.784172662;39;23.636363636;16;14.159292035;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";6;95;34.172661871;62;37.575757576;33;29.203539823;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:39";="800000028";7;118;42.446043165;59;35.757575758;59;52.212389381;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";0;84;3.129657228;48;5.1227321238;36;2.0606754436;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";1;63;2.347242921;29;3.0949839915;34;1.9461934745;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";2;18;0.6706408346;9;0.9605122732;9;0.5151688609;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";3;141;5.2533532042;59;6.2966915688;82;4.6937607327;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";4;701;26.117734724;65;6.9370330843;636;36.405266171;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";5;523;19.485842027;134;14.300960512;389;22.266742988;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";6;737;27.459016393;358;38.207043757;379;21.694333143;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:14:56";="590780193";7;417;15.536512668;235;25.080042689;182;10.417859187;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";3;7;2.2653721683;7;3.7037037037;;;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";4;12;3.8834951456;5;2.6455026455;7;5.8333333333;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";5;59;19.093851133;41;21.693121693;18;15;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";6;112;36.245954693;67;35.44973545;45;37.5;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:41";="600100721";7;119;38.511326861;69;36.507936508;50;41.666666667;2022.12;X600100721;13FEB23;16:00:35
