"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcad;N;nbseq;nbj;ik;avqphysm;avqpsym;agem;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";17;3;2;31;30;15.225806452;7.8064516129;65.838709677;2;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";05;3;3;27;40;15.259259259;4.2962962963;91;1;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";26;1;1;2;30;13;4;42;1;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";99;358;238;5048;30;13.22503962;4.3930269414;72.292591125;79;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:54";="800000085";99;0;0;;;;;;0;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:14";="590048476";07;6;4;25;20;15.6;5.52;86.04;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:14";="590048476";01;1;1;5;20;16;7;62;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:14";="590048476";99;7;5;30;20;15.666666667;5.7666666667;82.033333333;3;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:41";="800000028";99;0;0;;;;;;0;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";25;97;76;1057;70;7.5402081362;3.7407757805;26.542219515;57;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";04;58;46;626;30;12.186900958;3.7747603834;61.67626592;38;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";07;53;43;532;40;12.652255639;3.8834586466;62.063909774;36;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";09;23;13;380;40;11.447368421;2.4263157895;62.497368421;12;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";01;23;17;262;40;11.988549618;3.8625954198;69.301526718;16;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";08;17;13;259;30;13.791505792;4.6409266409;64.837837838;10;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";11;26;21;257;40;12.015564202;2.7081712062;71.894941634;21;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";03;21;15;239;40;11.481171548;3.4309623431;56.594142259;9;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";13;14;11;224;40;11.482142857;3.1607142857;64.321428571;8;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";06;18;14;196;50;9.4591836735;3.1326530612;37.551020408;9;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";14;15;12;169;40;12.213017751;3.4082840237;75.071005917;11;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";12;5;3;103;30;14.689320388;5.6893203883;82.495145631;3;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";24;4;3;33;40;11.878787879;2;66.818181818;3;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";10;1;1;21;50;10;2;46;1;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";02;2;2;5;50;8;4;13;1;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";05;1;1;5;40;11;4;67;1;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:00";="590780193";99;255;198;4368;50;10.971840659;3.5867673993;54.237057805;148;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:43";="600100721";99;0;0;;;;;;0;2022.12;X600100721;13FEB23;16:00:35
