"champ";"statut";"annee";"periode";"date du resultat";"ipe";combmpc;mpcp;mpca;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;pctcum;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";;99;;457;306;5266;;40;11.224268895;4.1936954045;72.770224079;129;100;173;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";0400;04;00;55;27;943;23.921867073;40;13.001060445;5.1930010604;84.387062566;22;23.921867073;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";0900;09;00;43;15;810;20.547945205;50;5.5481481481;2;62.269135802;14;44.469812278;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";0914;09;14;20;9;348;8.8280060883;40;13.204022989;4.2672413793;85.367816092;13;53.297818366;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";1409;14;09;12;3;260;6.5956367326;50;13.923076923;2;72.638461538;4;59.893455099;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";0401;04;01;19;12;230;5.834601725;30;10.369565217;3.1391304348;69.430434783;21;65.728056824;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";0901;09;01;8;2;198;5.0228310502;50;5.3737373737;2;84.171717172;6;70.750887874;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";0406;04;06;9;4;170;4.3125317098;40;13.082352941;2.5058823529;60.252941176;3;75.063419584;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";0409;04;09;8;3;163;4.1349568747;40;13.006134969;2.036809816;73.846625767;9;79.198376459;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";;98;;174;75;3122;;40;10.612574552;3.4221309418;74.847589747;64;79.198376459;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:58";="800000077";;99;;236;118;3942;;40;10.783105023;3.4657534247;74.685438864;103;100;109;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0900;09;00;106;55;1773;17.292499756;60;5.7219402143;2.0564015792;58.044557248;152;17.292499756;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0614;06;14;64;18;1451;14.151955525;40;14.66850448;4.660923501;75.421088904;61;31.444455281;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0400;04;00;75;41;1334;13.0108261;30;14.389805097;5.3545727136;83.818590705;137;44.455281381;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0914;09;14;36;13;812;7.9196332781;40;13.61453202;3.2413793103;63.017241379;65;52.374914659;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0401;04;01;58;41;632;6.1640495465;30;14.123417722;4.2405063291;83.435126582;121;58.538964206;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0407;04;07;76;61;425;4.1451282551;30;13.131764706;4.9976470588;69.381176471;169;62.684092461;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";1400;14;00;22;12;341;3.3258558471;40;13.642228739;2.4868035191;74.263929619;56;66.009948308;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0601;06;01;35;28;305;2.9747391008;50;8.468852459;2.1901639344;75.737704918;49;68.984687409;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0613;06;13;31;23;301;2.9357261289;50;8.5514950166;2.8637873754;73.265780731;37;71.920413538;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0209;02;09;22;14;257;2.506583439;50;10.618677043;2.4085603113;44.023346304;55;74.426996976;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0609;06;09;9;6;182;1.7750902175;50;6.8571428571;3.1923076923;56.928571429;25;76.202087194;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";1000;10;00;9;5;144;1.4044669853;50;9.9652777778;2;36.451388889;20;77.606554179;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";0600;06;00;14;9;140;1.3654540135;40;9.4214285714;2.9214285714;74.414285714;27;78.972008193;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";;98;;557;326;8097;;40;11.32924367;3.6285327533;70.113991189;418;78.972008193;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:24";="800000069";;99;;770;473;10253;;40;11.196332781;3.4250463279;69.133912026;492;100;273;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0400;04;00;431;309;4139;24.453503486;40;13.355641459;4.1152452283;79.58468229;273;24.453503486;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0900;09;00;262;173;2769;16.359447005;60;7.9664138678;2.5536294691;64.80245576;162;40.81295049;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0401;04;01;276;219;2122;12.53692544;40;11.441093308;3.5014137606;82.008953817;213;53.349875931;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0800;08;00;88;61;1075;6.351175706;60;7.2502325581;2.6148837209;73.710697674;115;59.701051637;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0300;03;00;70;54;601;3.5507503249;60;7.0515806988;2.2712146423;69.299500832;109;63.251801961;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";0406;04;06;48;33;536;3.1667257474;40;9.3414179104;2.8675373134;54.73880597;62;66.418527709;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:24";="590782652";1300;13;00;218;211;519;3.0662885502;70;4.4181117534;2.0077071291;70.626204239;39;69.484816259;;2022.12;X590782652;30JAN23;11:42:15
