"champ";"statut";"annee";"periode";"date du resultat";"ipe";dmpp;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Tot;3121;20956;;2424;9401;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";E86;247;2068;8.5359309861;88;1636;8.5359309861;E86;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";C78;162;1770;7.3058983778;53;1408;15.841829364;C78;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";C79;138;1319;5.4443389607;42;1107;21.286168325;C79;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";R15;78;857;3.5373756553;23;857;24.82354398;R15;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";C77;84;807;3.3309943452;24;687;28.154538325;C77;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";Z93;57;686;2.8315515747;14;560;30.9860899;Z93;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";T81;64;641;2.6458083956;19;245;33.631898295;T81;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";R26;107;632;2.6086597598;51;569;36.240558055;R26;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";R32;56;602;2.4848309737;18;602;38.725389029;R32;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";L89;54;582;2.4022784497;17;392;41.127667478;L89;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";G30;61;544;2.245428654;25;485;43.373096132;G30;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";C34;34;538;2.2206628968;6;416;45.593759029;C34;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";I69;67;512;2.1133446155;24;512;47.707103645;I69;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";J91;24;395;1.6304123499;4;390;49.337515995;J91;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";F00;47;353;1.4570520494;14;353;50.794568044;F00;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";N32;20;336;1.3868824039;3;336;52.181450448;N32;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";G31;35;328;1.3538613943;9;309;53.535311842;G31;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";Z60;27;327;1.3497337681;9;327;54.88504561;Z60;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";G81;42;324;1.3373508895;16;324;56.2223965;G81;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";F03;42;316;1.3043298799;12;310;57.52672638;F03;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";C18;22;296;1.2217773558;8;49;58.748503736;C18;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";G40;26;290;1.1970115986;11;226;59.945515334;G40;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";I50;42;290;1.1970115986;15;202;61.142526933;I50;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";I79;31;282;1.163990589;10;282;62.306517522;I79;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";E66;36;278;1.1474800842;22;177;63.453997606;E66;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";R33;24;264;1.0896933174;6;264;64.543690923;R33;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";I70;22;262;1.081438065;5;225;65.625128988;I70;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";I61;22;247;1.0195236719;5;247;66.64465266;I61;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";E11;31;246;1.0153960457;11;220;67.660048706;E11;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";Z53;25;236;0.9741197837;8;159;68.63416849;Z53;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";R18;25;225;0.9287158955;5;225;69.562884385;R18;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";C61;31;217;0.8956948859;7;194;70.458579271;C61;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";C80;18;208;0.8585462501;5;208;71.317125521;C80;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";B90;15;203;0.837908119;1;0;72.15503364;B90;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";Z96;25;189;0.7801213522;5;126;72.935154992;Z96;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";R47;21;186;0.7677384736;9;161;73.702893466;R47;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";J96;21;184;0.7594832212;8;125;74.462376687;J96;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";G36;11;168;0.693441202;1;168;75.155817889;G36;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";I83;14;167;0.6893135758;5;135;75.845131465;I83;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";G82;17;156;0.6439096875;2;156;76.489041152;G82;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";R91;10;150;0.6191439303;4;95;77.108185083;R91;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";F01;16;149;0.6150163041;8;149;77.723201387;F01;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";Z89;14;146;0.6026334255;6;119;78.325834812;Z89;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";U07;12;143;0.5902505469;2;0;78.916085359;U07;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";L97;15;136;0.5613571635;7;103;79.477442523;L97;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";80%;1013;9124;;335;6013;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:13";="590782652";Tot;1190;10792;;413;6266;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C78;67;1343;17.959347419;35;98;17.959347419;C78;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C79;45;910;12.169029152;28;117;30.128376571;C79;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C34;20;373;4.9879646964;6;0;35.116341268;C34;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";Z93;13;335;4.4798074351;8;232;39.596148703;Z93;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";L89;23;315;4.212356245;16;102;43.808504948;L89;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";R54;5;278;3.7175715432;4;0;47.526076491;R54;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";Z89;6;277;3.7041989837;4;171;51.230275475;Z89;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C77;10;214;2.8617277347;6;56;54.092003209;C77;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";G20;3;193;2.580903985;2;0;56.672907194;G20;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";L97;11;164;2.1930997593;6;121;58.866006954;L97;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";I70;6;137;1.8320406526;6;133;60.698047606;I70;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";J12;9;137;1.8320406526;8;0;62.530088259;J12;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";F00;12;132;1.765177855;8;8;64.295266114;F00;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";R52;14;122;1.63145226;10;69;65.926718374;R52;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";F06;4;116;1.5512169029;3;0;67.477935277;F06;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";B96;11;112;1.4977266649;9;18;68.975661942;B96;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";K60;4;111;1.4843541054;2;0;70.460016047;K60;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";I73;1;109;1.4576089864;1;109;71.917625033;I73;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";E11;4;103;1.3773736293;3;62;73.294998663;E11;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";B95;7;99;1.3238833913;7;0;74.618882054;B95;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:25";="600100713";C50;6;95;1.2703931532;6;3;75.889275207;C50;2022.11;X600100713;22DEC22;15:00:15
