"champ";"statut";"annee";"periode";"date du resultat";"ipe";nbrapss;lib;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 09:39:37";="800000036";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:37";="800000036";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:46";="800000069";56;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:46";="800000069";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:46";="800000069";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:46";="800000069";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:52";="800000077";17;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:52";="800000077";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:52";="800000077";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:52";="800000077";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:46";="800000085";119;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:46";="800000085";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:46";="800000085";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:46";="800000085";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:51";="800000093";83;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:51";="800000093";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:51";="800000093";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:51";="800000093";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";295;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.11;X800000523;22DEC22;10:53:02
