"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;nbjtot;nbje;nbjsupp;nbjsupp2;nbjval;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590782835;292;292;0;0;292;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590782843;14;14;0;0;14;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590782850;177;176;0;0;176;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590782868;81;81;0;0;81;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590783346;40;39;0;0;39;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590783585;70;70;0;0;70;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590788428;42;42;0;0;42;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590788535;17;17;0;0;17;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590789905;25;25;0;0;25;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590791315;124;124;0;0;124;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590796918;4;4;0;0;4;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590804316;58;58;0;0;58;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590804415;191;191;0;0;191;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";620105296;34;34;0;0;34;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";620117762;152;150;0;0;150;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600000376;9;9;0;0;9;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600009732;7;7;0;0;7;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600010557;149;149;0;0;149;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600100572;30;30;0;0;30;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600101323;58;58;0;0;58;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600101331;18;18;0;0;18;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600101513;76;76;0;0;76;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600102636;9;8;0;0;8;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600102792;39;39;0;0;39;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600103105;12;12;0;0;12;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600105308;88;86;0;86;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600111066;30;30;0;0;30;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600111405;105;104;0;0;104;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600111827;38;38;0;38;0;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600000160;5;5;0;0;5;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600008379;30;30;0;0;30;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600100978;19;19;0;0;19;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600101547;6;6;0;0;6;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600105225;9;8;0;0;8;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600105282;21;21;0;0;21;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600110670;9;9;0;0;9;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600111058;8;7;0;0;7;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:01";="600100721";600113674;209;208;0;0;208;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800000739;14;14;0;0;14;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800002289;10;10;0;0;10;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800003998;2;2;0;0;2;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800004244;139;139;0;0;139;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800005670;28;27;0;0;27;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";800000655;81;78;0;0;78;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";800003352;36;36;0;0;36;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";800006330;524;522;0;0;522;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";800006512;389;387;0;0;387;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";800015505;19;17;0;0;17;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:49";="800000069";800002305;13;13;0;0;13;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:49";="800000069";800002313;33;33;0;0;33;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:49";="800000069";800002339;39;38;0;0;38;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:49";="800000069";800006314;22;22;0;0;22;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:49";="800000069";800007650;73;72;0;0;72;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:49";="800000069";800009219;2;2;0;0;2;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";800000747;110;110;0;0;110;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";800000770;46;46;0;0;46;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";800004293;16;16;0;0;16;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:54";="800000077";800006215;16;16;0;0;16;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";600011274;45;45;0;0;45;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";600101331;53;53;0;0;53;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";600102073;77;77;0;0;77;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800000630;132;132;0;0;132;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800004186;23;23;0;0;23;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800004285;18;18;0;0;18;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800004293;2;2;0;0;2;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800005712;562;560;0;0;560;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";800002255;114;114;0;0;114;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";800004160;376;375;0;0;375;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";800006181;18;18;0;0;18;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:54";="800000093";800010571;219;219;0;0;219;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800000762;60;59;0;0;59;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800002321;61;60;0;0;60;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800002974;47;47;0;0;47;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800003915;22;22;0;0;22;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800004228;217;216;0;0;216;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800004251;40;40;0;0;40;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800005456;506;504;0;0;504;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800009052;44;43;0;0;43;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800010282;38;37;0;0;37;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800010472;229;229;0;0;229;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800010589;8;8;0;0;8;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800016966;57;57;0;0;57;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800020422;12;12;0;0;12;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800079741;107;106;0;0;106;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800154148;14;14;0;0;14;2022.11;X800000523;22DEC22;10:53:02
