"champ";"statut";"annee";"periode";"date du resultat";"ipe";acte;nb;nbocc;nbsej;nbseq;N;pctsej;pctseq;pctsseq;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";HSLD001;311;311;15;22;22;3.8265306122;3.8062283737;3.8062283737;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";HSLF002;289;289;13;22;22;3.3163265306;3.8062283737;3.8062283737;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ANMP001;163;163;134;163;163;34.183673469;28.200692042;28.200692042;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ZBQK002;15;15;9;12;12;2.2959183673;2.0761245675;2.0761245675;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";YYYY600;14;14;13;14;14;3.3163265306;2.4221453287;2.4221453287;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ZZQH033;7;7;7;7;7;1.7857142857;1.2110726644;1.2110726644;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ACQJ002;3;3;2;3;3;0.5102040816;0.5190311419;0.5190311419;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";MAQK003;2;2;2;2;2;0.5102040816;0.3460207612;0.3460207612;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";NDQK001;2;2;2;2;2;0.5102040816;0.3460207612;0.3460207612;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ACQK001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";DAQL002;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";DZQM006;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ECQH010;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";GGHB001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";HBQK002;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";JAQM004;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";JDLD001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";KCQM001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";LHQJ001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";MAQK001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";QEQK005;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";QEQM001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ZBQH001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ZCQH001;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ZCQK004;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";ZCQM008;1;1;1;1;1;0.2551020408;0.1730103806;0.1730103806;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";Total;1626;1626;211;282;282;53.826530612;48.788927336;48.788927336;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:37";="600100721";ZBQK002;7;7;3;3;6;1.0600706714;0.8928571429;1.1152416357;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:37";="600100721";MAQK001;1;1;1;1;1;0.3533568905;0.2976190476;0.1858736059;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:37";="600100721";QZQM001;1;1;1;1;1;0.3533568905;0.2976190476;0.1858736059;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:37";="600100721";Total;9;9;4;4;7;1.4134275618;1.1904761905;1.3011152416;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:23";="800000028";ANMP001;13;13;13;13;13;5.0387596899;4.1533546326;2.3550724638;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:23";="800000028";Total;13;13;13;13;13;5.0387596899;4.1533546326;2.3550724638;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:17";="800000036";Total;;;0;0;0;0;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:21";="800000069";HSLD001;2359;2359;37;96;165;14.624505929;21.967963387;23.371104816;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:21";="800000069";HSLF002;478;479;29;35;52;11.462450593;8.0091533181;7.3654390935;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:21";="800000069";GELD005;258;260;14;25;33;5.5335968379;5.7208237986;4.6742209632;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:21";="800000069";ANMP001;114;114;57;90;114;22.529644269;20.594965675;16.147308782;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:21";="800000069";JDLD001;36;36;24;28;34;9.4861660079;6.4073226545;4.8158640227;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:21";="800000069";GGJB001;33;33;1;1;3;0.395256917;0.2288329519;0.4249291785;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:21";="800000069";Total;3278;3281;143;254;377;56.52173913;58.123569794;53.399433428;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:35";="800000077";Total;;;0;0;0;0;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:27";="800000085";Total;;;0;0;0;0;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:24";="800000093";Total;;;0;0;0;0;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";ANMP001;117;117;107;113;113;7.7312138728;4.6752172114;2.3103659783;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";EPLF001;1;1;1;1;1;0.0722543353;0.0413736036;0.0204457166;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";QZJA023;1;1;1;1;1;0.0722543353;0.0413736036;0.0204457166;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";Total;119;119;109;115;115;7.8757225434;4.7579644187;2.3512574116;2022.11;X800000523;22DEC22;10:53:02
