"champ";"statut";"annee";"periode";"date du resultat";"ipe";ght;nbj;pctj;valobr;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";14;282;5.4095530405;80748.275976;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";15;291;5.5821983503;86806.8411;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";16;120;2.301937464;37997.2227;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";17;220;4.2202186841;74262.964974;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";18;96;1.8415499712;34693.094022;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";19;45;0.863226549;16482.909402;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";20;74;1.4195281028;28782.84897;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";21;123;2.3594859006;50117.569236;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";22;30;0.575484366;12672.966912;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";23;187;3.5871858815;81755.027076;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";24;34;0.6522156148;16215.2478;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";25;17;0.3261078074;7823.35068;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";26;4;0.0767312488;2069.317464;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";27;43;0.8248609246;21829.672038;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";28;10;0.191828122;5391.193224;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";30;13;0.2493765586;6750.097044;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";31;7;0.1342796854;4257.46293;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";90;5213;100;1311026.0157;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";05;13;0.3334188253;1747.24758;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";06;567;14.542190305;86257.34607;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";07;437;11.208002052;74518.133376;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";08;602;15.439856373;113186.85235;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";09;266;6.8222621185;52459.964142;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";10;647;16.593998461;144697.74982;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";11;327;8.3867658374;78614.999172;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";12;161;4.1292639138;41675.56383;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";13;266;6.8222621185;74238.47133;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";14;108;2.7699410105;31949.46924;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";15;149;3.8214926904;46782.339036;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";16;87;2.2313413696;28235.793792;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";17;86;2.2056937676;30066.117336;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";18;15;0.3847140292;5536.7904;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";19;23;0.5898948448;8352.813294;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";20;7;0.1795332136;2695.776216;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";21;60;1.538856117;24832.583496;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";22;12;0.3077712234;5300.08536;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";23;27;0.6924852526;12305.538126;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";24;8;0.2051808156;3812.531664;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";25;11;0.2821236214;5461.503552;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";27;8;0.2051808156;4004.410872;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";28;8;0.2051808156;4428.076752;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";31;4;0.1025904078;2432.83596;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:21";="800000077";90;3899;100;883592.99276;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";04;67;0.660879858;7780.974114;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";05;564;5.563227461;75482.4453;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";06;887;8.7492602091;135014.36927;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";07;814;8.0291970803;138837.40435;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";08;1132;11.165910436;213009.3527;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";09;1648;16.25567173;340429.31675;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";10;1450;14.302623792;324786.40881;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";11;749;7.3880449793;180472.54398;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";12;563;5.5533635826;145907.0126;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";13;636;6.2734267114;176756.47556;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";14;196;1.9333201815;58070.288988;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";15;429;4.2316038666;133954.99382;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";16;144;1.4203985007;48005.394486;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";17;259;2.5547445255;88971.275748;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";18;68;0.6707437364;25151.219904;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";19;43;0.4241467745;16244.626536;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";20;115;1.1343460249;46834.72746;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";21;155;1.5289011639;65048.54079;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";22;16;0.1578220556;7077.406632;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";23;137;1.3513513514;60726.287346;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";24;18;0.1775498126;8229.002868;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";25;28;0.2761885974;13794.844896;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";26;4;0.0394555139;2050.75038;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:57";="800000069";27;16;0.1578220556;8565.594144;2022.12;X800000069;27JAN23;16:29:15
