"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894132646;9413264;9413264;80;80;1262.684;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894139560;9413956;9413956;189;189;17656.66;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894228660;9422866;9422866;42;42;4006.92;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894231622;9423162;9423162;3;3;2258.04;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894294665;9429466;9429466;56;56;1431.701;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894449225;9444922;9444922;148;148;2926.64;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894449393;9444939;9444939;21;21;622.89;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894469155;9446915;9446915;0;0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894494867;9449486;9449486;22;22;51.66;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400891992915;9199291;9199291;7;7;20.72;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400892463988;9246398;9246398;6;6;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400893325254;9332525;9332525;330;330;2521.54;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400893519653;9351965;9351965;13;13;393.32;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400893530597;9353059;9353059;14;14;21.45;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400893544495;9354449;9354449;2;2;1045.77;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400893607404;9360740;9360740;9;9;110.26;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400893627044;9362704;9362704;219;219;1340.48;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400893899045;9389904;9389904;32;32;2973.14;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894203186;9420318;9420318;62;62;94.95;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894231622;9423162;9423162;3;3;2258.04;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894294665;9429466;9429466;56;56;1415.11;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894469094;9446909;9446909;45;45;918.9;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894469155;9446915;9446915;42;42;1072.08;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894486305;9448630;9448630;3;3;1568.22;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:50";="800000028";3400894570431;9457043;9457043;5;5;967.4;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400891288131;9128813;9128813;18;18;448.38;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400893530658;9353065;9353065;1;1;1.634;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400893875612;9387561;9387561;74;74;4132.803;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400894139560;9413956;9413956;14;14;1307.901;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400894217954;9421795;9421795;30;30;5271.6;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400894411833;9441183;9441183;177;177;7872.28;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400890005005;9000500;9000500;1;1;91.37;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400892850795;9285079;9285079;42;42;1072.05;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400892981369;9298136;9298136;22;22;1847.406;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:53";="800000069";3400893325254;9332525;9332525;486;486;1662.858;2022.11;X800000069;22DEC22;12:54:07
