"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;nbsej_diagp;nbseq_diagp;nbj_diagp;nbsej_dmpp;nbseq_dmpp;nbj_dmpp;nbsej_dmpa;nbseq_dmpa;nbj_dmpa;nbsej_das;nbseq_das;nbj_das;i;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";U0714;6;9;260;10;13;409;0;0;0;2;6;357;13;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";U0715;0;0;0;0;0;0;0;0;0;1;7;365;13;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:16";="800000036";U0710;7;8;51;7;8;51;3;3;27;0;0;0;13;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:16";="800000036";U0711;1;1;13;1;1;13;0;0;0;0;0;0;13;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:16";="800000036";U0712;7;7;56;7;7;56;0;0;0;0;0;0;13;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:16";="800000036";U0714;5;5;46;5;5;47;6;6;56;2;3;79;13;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:09";="800000077";U0710;3;3;40;5;5;57;0;0;0;0;0;0;13;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:09";="800000077";U0712;1;1;2;1;1;2;0;0;0;0;0;0;13;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:09";="800000077";U0714;1;1;1;3;3;40;1;1;3;0;0;0;13;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:40";="800000069";U0710;1;1;8;1;1;7;2;2;4;1;2;22;13;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:40";="800000069";U0712;0;0;0;0;0;0;1;1;35;10;14;174;13;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:40";="800000069";U0713;0;0;0;0;0;0;0;0;0;9;9;194;13;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:40";="800000069";U0714;3;3;36;0;0;0;2;2;13;8;9;214;13;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:39";="590782652";U0710;14;27;221;2;8;143;19;38;408;5;9;73;13;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:39";="590782652";U0712;0;0;0;0;0;0;0;0;0;6;9;131;13;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:39";="590782652";U0714;2;2;58;0;0;0;0;0;0;3;6;71;13;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:21";="020000022";U0710;2;3;242;1;1;207;0;0;0;6;8;106;13;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:21";="020000022";U0713;0;0;0;0;0;0;0;0;0;1;1;365;13;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:21";="020000022";U0714;0;0;0;0;0;0;0;0;0;9;36;363;13;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:08";="800000085";U0710;5;7;73;7;10;109;1;1;8;0;0;0;13;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";U0710;33;40;563;15;22;481;7;9;58;0;0;0;13;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";U0712;0;0;0;0;0;0;0;0;0;1;1;7;13;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";U0714;11;13;207;2;2;23;0;0;0;0;0;0;13;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:26";="590048476";U0715;1;1;2;0;0;0;0;0;0;0;0;0;13;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:55";="800000028";U0710;2;2;11;4;4;49;0;0;0;0;0;0;13;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:55";="800000028";U0714;0;0;0;1;1;11;1;2;15;0;0;0;13;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:15";="590780193";U0710;2;3;89;0;0;0;0;0;0;1;1;21;13;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:15";="590780193";U0712;0;0;0;0;0;0;0;0;0;5;5;5;13;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:15";="590780193";U0714;0;0;0;0;0;0;2;2;10;14;14;21;13;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";U0710;3;3;77;1;1;2;2;3;26;3;3;50;13;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";U0712;0;0;0;1;1;11;2;2;26;7;7;114;13;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";U0713;0;0;0;0;0;0;0;0;0;2;2;41;13;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:58";="600100721";U0714;0;0;0;0;0;0;0;0;0;1;1;13;13;2022.12;X600100721;13FEB23;16:00:35
