"champ";"statut";"annee";"periode";"date du resultat";"ipe";codegeo;N;pct;nbj;pctj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59114;46;5.912596401;754;4.8777332126;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59116;4;0.5141388175;113;0.7310130677;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59173;48;6.1696658098;798;5.162375469;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59181;16;2.0565552699;577;3.7326950446;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59189;15;1.9280205656;340;2.1995083452;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59190;204;26.221079692;3425;22.156812007;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59193;12;1.5424164524;121;0.7827662052;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59232;14;1.7994858612;324;2.0960020701;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59236;2;0.2570694087;45;0.2911113986;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59253;19;2.442159383;391;2.529434597;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59270;140;17.994858612;2003;12.95769181;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59280;11;1.4138817481;377;2.4388666063;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59285;6;0.7712082262;668;4.3213869841;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59299;23;2.9562982005;258;1.6690386855;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59470;1;0.1285347044;11;0.0711605641;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59630;1;0.1285347044;14;0.0905679907;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59660;51;6.5552699229;1626;10.518825204;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59670;48;6.1696658098;995;6.4367964808;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59850;41;5.2699228792;1091;7.0578341312;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59930;5;0.6426735219;113;0.7310130677;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:09";="590782652";59940;41;5.2699228792;764;4.9424246345;2022.11;X590782652;29DEC22;12:11:02
