"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp1;N;nbj;pctj;nbsej;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";Z35;229;2607;12.200486709;113;28.027892175;Z35;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";T81;71;1018;4.7641332834;31;32.792025459;T81;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";D46;192;902;4.2212654437;166;37.013290902;D46;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";O24;82;886;4.1463871209;69;41.159678023;O24;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C92;150;761;3.5614002246;130;44.721078248;C92;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";O26;58;739;3.4584425309;39;48.179520779;O26;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";C90;514;628;2.938974167;509;51.118494946;C90;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";L89;34;558;2.6113815051;10;53.729876451;L89;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";P00;49;526;2.4616248596;29;56.19150131;P00;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";P05;39;514;2.4054661176;29;58.596967428;P05;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";P29;65;512;2.3961063272;30;60.993073755;P29;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";P07;58;414;1.9374766005;32;62.930550356;P07;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";Z51;145;379;1.7736802696;135;64.704230625;Z51;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:12";="590780193";Z89;17;352;1.6473231;6;66.351553725;Z89;2022.11;X590780193;30DEC22;11:03:01
