"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbseq;nbj;pctj;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0647;06;09;30;30;10;4;153;0.8911929171;4;2;46;73.217614166;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0418;04;09;10;20;23;19;145;0.8445945946;16;4;13.25;74.06220876;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1974;07;04;40;40;12;7;134;0.7805219012;7;3;33.333333333;74.842730662;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0298;03;09;60;60;12;8;126;0.7339235788;8;7;16.571428571;75.57665424;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0476;05;00;70;70;32;26;120;0.6989748369;26;26;4.6153846154;76.275629077;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0407;04;07;60;60;7;5;119;0.6931500466;5;3;22.333333333;76.968779124;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0376;04;01;10;20;34;31;112;0.6523765144;27;7;2.4285714286;77.621155638;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1048;09;07;40;40;9;4;110;0.6407269338;4;2;37.5;78.261882572;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";1996;09;06;30;30;9;5;105;0.6116029823;5;3;18.666666667;78.873485555;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";0679;06;14;30;30;7;3;103;0.5999534017;3;1;31;79.473438956;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";80%;;;10;70;1583;1191;13644;;;;;79.473438956;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:23";="590048476";Tous;;;10;70;1942;1451;17168;;1112;845;11.579881657;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";1753;19;00;60;60;445;322;6129;28.683077499;319;218;16.926605505;28.683077499;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";0477;05;00;60;60;1056;1012;2468;11.54998128;1012;1009;2.4350842418;40.233058779;2022.11;X590780193;30DEC22;11:03:01
