"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_et;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894471806;9447180;9447180;I999999;25.82;0;0;0;25.82;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894555063;9455506;9455506;I000372;12.419;0;0;0;12.419;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894555063;9455506;9455506;I000373;4.948;0;0;0;4.948;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:44";="590780193";3400894555063;9455506;9455506;I000374;5.58;0;0;0;5.58;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:37";="590782652";3400890000987;9000098;9000098;I000372;96;0;0;0;96;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:37";="590782652";3400890000987;9000098;9000098;I000373;39;0;0;0;39;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:37";="590782652";3400894555063;9455506;9455506;I000372;184;0;0;0;184;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:37";="590782652";3400894555063;9455506;9455506;I000373;129.474;0;0;0;129.474;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400890004022;9000402;9000402;I000374;32;0;0;0;32;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893126523;9312652;9312652;I000474;9;0;0;0;9;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893126691;9312669;9312669;I000474;9;0;0;0;9;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893126752;9312675;9312675;I000474;9;0;0;0;9;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893951125;9395112;9395112;I000474;27;0;0;0;27;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400894237884;9423788;9423788;I000390;19;0;0;0;19;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400894555063;9455506;9455506;I000374;40;0;0;0;40;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:02";="600100721";3400893843734;9384373;9384373;I000088;25;0;0;0;25;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:02";="600100721";3400894258476;9425847;9425847;I000053;15;0;0;0;15;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400890002554;9000255;9000255;I000560;448;0;0;0;448;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400892182612;9218261;9218261;I000016;66;0;0;0;66;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400892182612;9218261;9218261;I000017;20;0;0;0;20;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400892182612;9218261;9218261;I999999;3;0;0;0;3;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400894187356;9418735;9418735;I000507;51;0;0;0;51;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400894187356;9418735;9418735;I000584;4;0;0;0;4;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400894393580;9439358;9439358;I000496;44;0;0;0;44;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400892182612;9218261;9218261;I000015;34;0;0;0;34;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400894187356;9418735;9418735;I000507;39;0;0;0;39;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:51";="800000069";3400894187356;9418735;9418735;I000507;319;0;0;0;319;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:51";="800000069";3400894258537;9425853;9425853;I000051;33;0;0;0;33;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400892182612;9218261;9218261;I000015;12;0;0;0;12;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893475966;9347596;9347596;I000418;13;0;0;0;13;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893476048;9347604;9347604;I000418;12;0;0;0;12;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893843734;9384373;9384373;I000088;4;0;0;0;4;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893843734;9384373;9384373;I999998;7;0;0;0;7;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400894187356;9418735;9418735;I000507;62;0;0;0;62;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400894187356;9418735;9418735;I999998;116;0;0;0;116;2022.11;X800000523;22DEC22;10:53:02
