"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep22;dep22_aut;nb22;ecart;dep22_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400890000987;9000098;9000098;I000373;2776;3403.853;39;184.343;2960.343;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400894555063;9455506;9455506;I000372;10409.95;13714.808;184;1652.429;12062.379;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:38";="590782652";3400894555063;9455506;9455506;I000373;6946.185;9650.603538;129.474;1352.209269;8298.394269;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400890004022;9000402;9000402;I000374;2025.664;2782.712;32;378.524;2404.188;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893126523;9312652;9312652;I000474;5053.95;5053.95;9;0;5053.95;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893126691;9312669;9312669;I000474;10107.9;10107.9;9;0;10107.9;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893126752;9312675;9312675;I000474;2527.01;2526.975;9;-0.035;2526.975;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400893951125;9395112;9395112;I000474;60647.4;60647.4;27;-8.18545E-12;60647.4;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400894237884;9423788;9423788;I000390;22696.83;37711.656;19;7507.413;30204.243;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:54";="600100713";3400894555063;9455506;9455506;I000374;2042;2981.48;40;469.74;2511.74;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:02";="600100721";3400893843734;9384373;9384373;I000088;1637.4;1637.4;25;-2.27374E-13;1637.4;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:02";="600100721";3400894258476;9425847;9425847;I000053;574.31;1003.77;15;214.73;789.04;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400890002554;9000255;9000255;I000560;65163.84;66532.48;448;684.32;65848.16;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400892182612;9218261;9218261;I000016;8096.88;8096.814;66;-0.066;8096.814;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400892182612;9218261;9218261;I000017;3604.71;2453.58;20;-1151.13;2453.58;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400892182612;9218261;9218261;I999999;368.04;368.037;3;-0.003;368.037;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400894187356;9418735;9418735;I000507;6008.47;5988.165;51;-20.305;5988.165;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400894187356;9418735;9418735;I000584;460;469.66;4;4.83;464.83;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:49";="800000028";3400894393580;9439358;9439358;I000496;14016.26;14016.288;44;0.014;14016.274;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400892182612;9218261;9218261;I000015;4171.082;4171.086;34;0.001;4171.083;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:41";="800000036";3400894187356;9418735;9418735;I000507;4579.185;4579.185;39;0;4579.185;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:52";="800000069";3400894187356;9418735;9418735;I000507;37455.385;37455.385;319;-2.72848E-11;37455.385;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:52";="800000069";3400894258537;9425853;9425853;I000051;1431.969;2808.894;33;688.4625;2120.4315;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400892182612;9218261;9218261;I000015;1472.16;1472.148;12;-0.012;1472.148;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893475966;9347596;9347596;I000418;7300.15;7300.15;13;0;7300.15;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893476048;9347604;9347604;I000418;13477.2;13477.2;12;0;13477.2;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893843734;9384373;9384373;I000088;262;261.984;4;-0.016;261.984;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400893843734;9384373;9384373;I999998;458.5;458.472;7;-0.028;458.472;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400894187356;9418735;9418735;I000507;7279.74;7279.73;62;-0.01;7279.73;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:48";="800000523";3400894187356;9418735;9418735;I999998;13620.36;13620.14;116;-0.22;13620.14;2022.11;X800000523;22DEC22;10:53:02
