"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";06;22;16;328;2.1218786389;40;12.237804878;2.375;60.948170732;92.37804878;47;9;4;31.75;94.591797128;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";07;81;69;327;2.1154094967;40;10.458715596;4.1620795107;70.409785933;75.535168196;112;47;42;6.8571428571;96.707206624;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";05;57;56;309;1.9989649372;70;4.0776699029;2;75.323624595;0;13;52;52;5.9423076923;98.706171562;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";02;13;10;106;0.6857290723;40;12.764150943;2.8396226415;62.981132075;91.509433962;26;5;3;29.333333333;99.391900634;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";01;6;4;65;0.4204942425;40;10;2;54.292307692;100;18;3;2;5.5;99.812394876;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";15;29;29;29;0.1876051236;80;4.0689655172;2;59.24137931;0;9;29;29;1;100;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";99;1896;1469;15458;;50;10.600595161;3.1361754431;73.435179195;38.924050633;559;821;729;15.717421125;100;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";04;155;155;3570;36.532951289;30;13.074789916;4.6949579832;74.014005602;30.504201681;126;116;59;27.423728814;36.532951289;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";09;77;77;1939;19.842406877;50;7.7478081485;2.593604951;59.580917999;22.227952553;93;69;53;29.396226415;56.375358166;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:22";="600100713";08;56;56;1434;14.674580434;50;5.7670850767;2.3953974895;70.230822873;45.048814505;40;30;18;42.222222222;71.0499386;2022.11;X600100713;22DEC22;15:00:15
