"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;annee;mois;COUNT;PERCENT;noligne;nonval;count1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;7;8035;;3;;8459;-5.012412815;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;8;441;8.1500646831;1;;438;0.6849315068;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;8;7948;;3;;8405;-5.437239738;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;9;420;7.7619663648;1;;421;-0.237529691;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;9;7859;;3;;7767;1.1844985194;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;10;465;8.5936056182;1;;433;7.3903002309;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;10;7825;;3;;8330;-6.06242497;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;11;532;9.8318240621;1;;446;19.282511211;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;11;7344;;3;;7979;-7.958390776;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nombre de RAPSS transmis;2022;12;518;9.5730918499;1;;404;28.217821782;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:54";="800000523";Nb de journées de présence;2022;12;7315;;3;;8389;-12.80247944;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;1;32;7.0021881838;1;;30;6.6666666667;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;1;356;;3;;427;-16.62763466;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;2;38;8.3150984683;1;;31;22.580645161;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;2;378;;3;;390;-3.076923077;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;3;31;6.7833698031;1;;45;-31.11111111;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;3;381;;3;;508;-25;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;4;53;11.597374179;1;;41;29.268292683;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;4;516;;3;;447;15.436241611;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;5;45;9.8468271335;1;;27;66.666666667;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;5;552;;3;;430;28.372093023;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;6;33;7.2210065646;1;;20;65;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;6;516;;3;;502;2.7888446215;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;7;38;8.3150984683;1;;18;111.11111111;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;7;497;;3;;401;23.940149626;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;8;34;7.4398249453;1;;26;30.769230769;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;8;474;;3;;479;-1.043841336;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;9;40;8.7527352298;1;;26;53.846153846;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;9;402;;3;;442;-9.049773756;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;10;33;7.2210065646;1;;19;73.684210526;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;10;370;;3;;375;-1.333333333;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;11;39;8.533916849;1;;28;39.285714286;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;11;409;;3;;437;-6.407322654;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nombre de RAPSS transmis;2022;12;41;8.9715536105;1;;25;64;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:45:58";="800000036";Nb de journées de présence;2022;12;415;;3;;458;-9.388646288;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;1;22;9.3220338983;1;;16;37.5;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;1;369;;3;;283;30.38869258;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;2;23;9.7457627119;1;;21;9.5238095238;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;2;398;;3;;336;18.452380952;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;3;23;9.7457627119;1;;27;-14.81481481;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;3;448;;3;;332;34.939759036;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;4;23;9.7457627119;1;;23;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;4;431;;3;;293;47.098976109;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;5;24;10.169491525;1;;19;26.315789474;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;5;394;;3;;328;20.12195122;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;6;24;10.169491525;1;;20;20;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;6;326;;3;;372;-12.3655914;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;7;11;4.6610169492;1;;29;-62.06896552;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;7;197;;3;;300;-34.33333333;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;8;14;5.9322033898;1;;23;-39.13043478;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nb de journées de présence;2022;8;213;;3;;387;-44.96124031;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:56";="800000077";Nombre de RAPSS transmis;2022;9;22;9.3220338983;1;;20;10;2022.12;X800000077;27JAN23;7:43:50
