"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;mnt_gf;mnt_per_t2a;mnt_per_gf;mnt_per_hpr;mnt_du_gf;mnt_du;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/02 09:23:06";="600100721";99;0;0;1735618.6801;;0;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:53";="800000028";51;0;0;1628231.0664;0;0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:53";="800000028";52;0;0;0;0;0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:53";="800000028";99;0;0;1628231.0664;;0;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:43";="800000036";51;0;0;1165616.9236;0;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:43";="800000036";52;0;0;0;0;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:43";="800000036";99;0;0;1165616.9236;;0;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:55";="800000069";51;0;0;1956412.2495;0;0;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:55";="800000069";52;0;0;0;0;0;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:55";="800000069";99;0;0;1956412.2495;;0;0;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:57";="800000077";51;0;0;777724.85616;0;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:57";="800000077";52;0;0;0;0;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:57";="800000077";99;0;0;777724.85616;;0;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:51";="800000085";51;0;0;1511816.3965;0;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:51";="800000085";52;0;0;0;0;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:51";="800000085";99;0;0;1511816.3965;;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:52:00";="800000093";51;0;0;1378311.78;0;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:52:00";="800000093";52;0;0;0;0;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:52:00";="800000093";99;0;0;1378311.78;;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:53";="800000523";51;0;0;21327453.563;0;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:53";="800000523";52;0;0;0;0;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:53";="800000523";99;0;0;21327453.563;;0;0;2022.11;X800000523;22DEC22;10:53:02
